PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,PasesCompletados,PasesIntentados,Pct_PasesCompletados,PasesUltTercioCampo,PasesClave,PasesCruzados,PasesCambioDeBanda,xG,npxG,xA,xG_90Min,xA_90Min
Florian Thauvin,24,22,11,7,0,1311,1815,72.2,122,74,144,65,15,12,9.3,0.46,0.28
Luiz Gustavo,30,5,2,10,1,1714,1929,88.9,172,16,15,66,3.2,3.2,1,0.1,0.03
Dimitri Payet,30,6,13,6,0,1198,1617,74.1,128,126,131,67,8,5.7,13,0.31,0.5
Andre-Frank Zambo Anguissa,21,0,0,5,0,1546,1780,86.9,145,23,10,17,1.5,1.5,2,0.06,0.07
Morgan Sanson,22,9,2,8,0,817,1051,77.7,76,37,53,43,5.5,5.5,3.6,0.23,0.15
Lucas Ocampos,23,9,2,6,1,496,656,75.6,38,23,31,12,9.5,9.5,2.3,0.42,0.1
Samuel Grandsir,20,3,4,3,0,661,949,69.7,51,35,69,31,3.9,3.9,3.6,0.13,0.12
Saîf-Eddine Khaoui,22,5,1,1,0,465,713,65.2,45,30,39,26,4.5,3.7,3,0.2,0.14
Bryan Pelé,25,2,2,1,0,407,596,68.3,33,23,59,25,2,2,2,0.11,0.11
Marco Asensio,21,6,4,2,0,1028,1226,83.8,93,52,76,39,4.8,4.8,5.6,0.24,0.27
Lucas Vázquez,26,4,7,3,0,820,1023,80.2,35,52,88,33,4.1,4.1,6,0.22,0.32
Yunus Malli,25,5,4,3,0,653,859,76,61,30,30,20,5.2,5.2,4.2,0.21,0.17
Charlie Daniels,30,1,3,0,0,1459,1968,74.1,92,28,85,38,0.5,0.5,2.4,0.01,0.07
Joshua King,25,8,3,3,0,517,724,71.4,38,38,41,9,7.7,6.2,4.4,0.28,0.16
Jordon Ibe,21,2,6,1,0,580,790,73.4,31,34,54,30,2.8,2.8,3.7,0.13,0.17
Andros Townsend,26,2,7,3,0,833,1196,69.6,49,59,119,55,3.2,3.2,6.1,0.09,0.18
Luka Milivojevic,26,10,1,8,0,1340,1681,79.7,184,21,17,73,7.4,2,1.1,0.22,0.03
Yohan Cabaye,31,0,1,7,0,1080,1405,76.9,111,44,71,101,2.3,2.3,3.5,0.09,0.13
James McArthur,29,5,1,5,0,852,1085,78.5,82,21,7,13,4.7,4.7,1.2,0.17,0.04
Jordan Veretout,24,8,1,10,1,1755,2157,81.4,240,51,38,95,5.4,3.1,3.8,0.15,0.11
Federico Chiesa,19,6,4,7,0,751,1039,72.3,40,53,88,28,7.1,7.1,6.2,0.21,0.19
Marco Benassi,22,5,3,6,0,994,1322,75.2,112,38,46,31,4.9,4.9,3.2,0.16,0.1
Corentin Jean,22,1,3,3,0,348,515,67.6,23,28,54,22,1.8,1.8,3,0.1,0.16
Christian Eriksen,25,10,10,0,0,1865,2440,76.4,214,104,116,103,6.7,6.7,12.6,0.19,0.35
Dele Alli,21,9,10,7,0,972,1256,77.4,87,60,23,23,9.3,9.3,7.9,0.28,0.24
Eric Dier,23,0,2,4,0,1905,2246,84.8,234,17,15,75,1.8,1.8,2.1,0.06,0.07
Son Heung-min,25,12,6,0,0,781,975,80.1,32,34,47,11,10.1,10.1,4.7,0.39,0.18
Moussa Sissoko,27,1,1,3,0,730,885,82.5,59,26,26,16,3.2,3.2,2.4,0.21,0.15
Oriol Romeu,25,1,0,11,0,1533,1869,82,148,21,6,68,2,2,1.2,0.06,0.04
Dušan Tadic,28,6,3,4,0,861,1237,69.6,61,62,98,39,4.4,3.7,6.7,0.14,0.21
Nathan Redmond,23,1,3,3,0,616,856,72,35,42,54,49,2.3,2.3,3.6,0.11,0.17
Thorgan Hazard,24,10,5,1,0,998,1365,73.1,49,67,73,60,13.7,9.2,6.7,0.42,0.21
Lars Stindl,28,6,3,5,0,1283,1563,82.1,119,47,13,24,7.5,7.5,6.2,0.25,0.2
Rolando Mandragora,20,2,0,8,0,1077,1380,78,114,24,18,40,2.2,2.2,1.5,0.06,0.04
Andrea Barberis,23,2,1,1,0,807,1130,71.4,68,30,30,39,1.5,1.5,2.1,0.04,0.06
Adrian Stoian,26,2,4,5,0,628,1025,61.3,90,20,57,25,2,1.5,2.1,0.08,0.09
Iñaki Williams,23,7,4,3,0,555,754,73.6,27,32,65,9,8.8,8.8,4.7,0.28,0.15
Raúl García,31,10,1,10,0,491,879,55.9,79,29,32,10,9.1,6.8,3.8,0.31,0.13
Markel Susaeta,29,3,2,2,0,740,1003,73.8,52,48,68,55,2.1,2.1,4.3,0.08,0.17
Abdoulaye Doucouré,24,7,3,10,0,1868,2259,82.7,168,39,26,62,3.1,3.1,2.4,0.08,0.06
Richarlison,20,5,4,4,0,532,843,63.1,36,26,47,12,10.1,10.1,3.3,0.32,0.1
Roberto Pereyra,26,5,2,3,0,602,737,81.7,46,24,38,35,3.5,3.5,2.4,0.2,0.13
Rodri,21,1,3,8,0,2196,2462,89.2,185,25,6,64,1.6,1.6,1.8,0.05,0.05
Manu Trigueros,25,3,4,10,2,1564,1850,84.5,178,48,42,74,2.9,1.4,4.1,0.1,0.14
Pablo Fornals,21,3,9,4,0,1042,1346,77.4,110,50,34,38,3.6,3.6,7.5,0.12,0.26
Guilherme,26,0,0,11,0,1196,1434,83.4,103,16,14,55,1.8,1.8,1.4,0.06,0.05
Celso Borges,29,3,3,4,2,924,1209,76.4,111,22,17,27,3.5,3.5,2.2,0.14,0.08
Ellyes Skhiri,22,4,0,8,0,1341,1586,84.6,133,31,10,64,1.8,1.8,1.4,0.05,0.04
Paul Lasne,28,1,3,10,0,1412,1769,79.8,183,34,40,84,1.4,1.4,2.6,0.04,0.08
Ruben Aguilar,24,0,3,2,0,1114,1478,75.4,90,31,83,29,0.7,0.7,2.6,0.03,0.09
Isaac Mbenza,21,8,2,4,0,428,646,66.3,26,29,71,42,7.3,7.3,2.1,0.31,0.09
Salomon Kalou,31,12,3,0,0,446,635,70.2,36,17,15,7,10.1,8.6,2.5,0.41,0.1
Gaël Kakuta,26,6,4,3,0,889,1378,64.5,105,66,89,49,4.7,4,7.1,0.14,0.21
Thomas Monconduit,26,1,3,7,1,1128,1440,78.3,120,21,11,40,0.9,0.9,1.2,0.03,0.04
Harrison Manzala,23,4,3,3,0,477,665,71.7,19,10,41,12,3,2.2,2.1,0.14,0.1
Lionel Messi,30,34,12,3,0,1532,1947,78.7,198,84,36,45,25.3,22.3,13.6,0.76,0.41
Ivan Rakitic,29,1,3,4,0,2249,2533,88.8,244,29,25,75,1.9,1.9,4,0.06,0.13
Sergio Busquets,29,1,2,8,0,1945,2173,89.5,203,23,3,51,0.6,0.6,1.6,0.02,0.05
Paulinho,29,9,2,2,0,1059,1214,87.2,87,11,4,10,8.9,8.9,2,0.42,0.09
Simone Verdi,25,10,8,2,0,900,1321,68.1,81,52,81,106,8.1,6.5,5.6,0.26,0.18
Andrea Poli,27,2,0,9,2,1126,1273,88.5,84,15,12,9,2.3,2.3,1.1,0.08,0.04
Erick Pulgar,23,3,0,9,0,1430,1748,81.8,139,23,10,84,1.7,0.9,2.6,0.06,0.09
Manuel Lazzari,23,2,1,4,0,1189,1537,77.4,60,29,104,43,1.3,1.3,2.1,0.04,0.06
Pasquale Schiattarella,30,1,3,12,0,939,1180,79.6,96,43,27,39,0.8,0.8,4,0.04,0.18
Nemanja Matic,28,1,1,6,0,2232,2573,86.7,211,24,10,98,0.7,0.7,1.8,0.02,0.05
Jesse Lingard,24,8,5,2,0,821,974,84.3,63,27,26,16,7.7,7.7,3,0.38,0.15
Marcus Rashford,19,7,5,3,0,477,675,70.7,24,26,56,21,4.5,4.5,4.5,0.22,0.23
Granit Xhaka,24,1,7,10,0,2673,3130,85.4,374,42,34,164,2,2,3.9,0.06,0.11
