Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
336;Fernando Madrigal;mx MEX;MF;Necaxa;31-172;1991;33;23;2160;24.0;1;1;2;1;0;0;4;0;2.7;2.7;2.3;5.1;39;102;72;0.04;0.04;0.08;0.04;0.08;0.11;0.10;0.21;0.11;0.21
337;José Madueña;mx MEX;DFMF;Querétaro;32-339;1990;9;4;438;4.9;0;1;1;0;0;0;1;0;0.1;0.1;0.2;0.3;12;17;12;0.00;0.21;0.21;0.00;0.21;0.03;0.04;0.06;0.03;0.06
338;Luis Malagón;mx MEX;GK;América;26-062;1997;7;7;630;7.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
339;Luis Malagón;mx MEX;GK;Necaxa;26-062;1997;17;17;1530;17.0;0;0;0;0;0;0;4;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
340;Joshua Mancha;mx MEX;FWDF;Santos;18-210;2004;2;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
341;Federico Mancuello;ar ARG;MF;Puebla;34-038;1989;34;34;2880;32.0;5;8;13;5;0;0;5;0;4.1;4.1;5.7;9.8;55;201;83;0.16;0.25;0.41;0.16;0.41;0.13;0.18;0.31;0.13;0.31
342;Mauro Manotas;co COL;FWMF;Atlas;27-292;1995;5;0;97;1.1;0;0;0;0;0;0;0;0;0.5;0.5;0.7;1.2;3;0;8;0.00;0.00;0.00;0.00;0.00;0.45;0.65;1.10;0.45;1.10
343;Óscar Manzanarez;mx MEX;DF;Santos;28-009;1995;6;4;421;4.7;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;1;18;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
344;Javier Marcelo Correa;ar ARG;FWMF;Santos;30-192;1992;32;19;1885;20.9;12;1;13;11;1;1;7;1;11.0;10.2;1.9;12.1;39;52;111;0.57;0.05;0.62;0.53;0.57;0.53;0.09;0.61;0.49;0.58
345;Jahaziel Marchand;mx MEX;MF;Pachuca;21-217;2001;3;1;48;0.5;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
346;Salvador Mariscal;mx MEX;MF;Santos;20-011;2003;11;5;549;6.1;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;2;16;4;0.00;0.00;0.00;0.00;0.00;0.03;0.01;0.04;0.03;0.04
347;Ángel Márquez;mx MEX;MF;Atlas;22-316;2000;30;18;1640;18.2;1;3;4;1;0;0;2;0;1.4;1.4;3.1;4.4;24;85;58;0.05;0.16;0.22;0.05;0.22;0.08;0.17;0.24;0.08;0.24
348;Henry Martín;mx MEX;FW;América;30-166;1992;34;29;2548;28.3;24;10;34;19;5;6;2;0;17.2;12.5;6.0;18.4;24;55;176;0.85;0.35;1.20;0.67;1.02;0.61;0.21;0.82;0.44;0.65
349;Alejandro Martínez;ar ARG;DFFW;Tijuana;26-017;1997;14;8;781;8.7;1;1;2;1;0;0;1;0;0.7;0.7;1.2;2.0;40;37;84;0.12;0.12;0.23;0.12;0.23;0.08;0.14;0.23;0.08;0.23
350;Guillermo Martínez Ayala;mx MEX;FWMF;Puebla;28-049;1995;18;5;573;6.4;6;2;8;5;1;1;3;1;3.7;2.9;0.6;3.5;1;8;20;0.94;0.31;1.26;0.79;1.10;0.58;0.09;0.67;0.46;0.55
351;Enzo Martínez;uy URU;DF;Pachuca;25-004;1998;5;5;433;4.8;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;3;21;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05
352;Enzo Martínez;uy URU;DF;Querétaro;25-004;1998;7;7;556;6.2;0;0;0;0;0;0;4;0;0.2;0.2;0.0;0.3;4;23;0;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.04;0.04;0.04
353;Federico Martínez;uy URU;FWMF;León;27-064;1996;10;7;493;5.5;2;0;2;2;0;0;0;0;0.3;0.3;0.6;0.9;11;11;25;0.37;0.00;0.37;0.37;0.37;0.06;0.12;0.17;0.06;0.17
354;Emilio Martínez González;mx MEX;DF;Puebla;20-090;2003;17;14;1054;11.7;0;0;0;0;0;0;4;0;0.2;0.2;0.2;0.3;7;20;23;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
355;Jaziel Martínez;mx MEX;MF;Atlas;22-212;2000;13;6;538;6.0;0;1;1;0;0;0;1;0;0.2;0.2;0.5;0.7;6;40;13;0.00;0.17;0.17;0.00;0.17;0.04;0.09;0.12;0.04;0.12
356;Jaziel Martínez;mx MEX;MFFW;Monterrey;22-212;2000;2;0;7;0.1;1;0;1;1;0;0;0;0;0.1;0.1;0.0;0.1;0;0;1;12.86;0.00;12.86;12.86;12.86;1.40;0.00;1.40;1.40;1.40
357;Juan Martínez;mx MEX;DF;Atlético;24-088;1999;3;2;115;1.3;0;0;0;0;0;0;1;1;0.0;0.0;0.0;0.0;0;2;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
358;Roger Martínez;co COL;FWMF;América;28-314;1994;15;3;395;4.4;3;0;3;3;0;0;1;0;1.3;1.3;0.4;1.6;26;31;42;0.68;0.00;0.68;0.68;0.68;0.29;0.08;0.37;0.29;0.37
359;Román Martínez;mx MEX;FWMF;América;20-258;2002;3;1;102;1.1;0;0;0;0;0;0;1;0;0.2;0.2;0.1;0.3;2;1;9;0.00;0.00;0.00;0.00;0.00;0.16;0.12;0.27;0.16;0.27
360;Sebastián Martínez;mx MEX;MF;América;20-008;2003;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
361;Alejandro Mayorga;mx MEX;DF;Cruz Azul;25-339;1997;5;5;430;4.8;0;0;0;0;0;0;1;0;0.1;0.1;0.2;0.3;3;14;9;0.00;0.00;0.00;0.00;0.00;0.02;0.04;0.06;0.02;0.06
362;Alejandro Mayorga;mx MEX;DF;Guadalajara;25-339;1997;9;4;355;3.9;1;0;1;1;0;0;2;0;0.3;0.3;0.1;0.4;16;23;13;0.25;0.00;0.25;0.25;0.25;0.09;0.02;0.11;0.09;0.11
363;Alan Medina;mx MEX;MFFW;FC Juárez;25-257;1997;29;22;1852;20.6;6;2;8;6;0;0;2;0;3.8;3.8;1.3;5.1;88;84;151;0.29;0.10;0.39;0.29;0.39;0.19;0.06;0.25;0.19;0.25
364;Diego Medina;mx MEX;MFFW;Santos;22-052;2001;23;11;964;10.7;4;0;4;4;0;0;1;0;1.9;1.9;1.2;3.0;39;39;85;0.37;0.00;0.37;0.37;0.37;0.17;0.11;0.28;0.17;0.28
365;Stefan Medina;co COL;DF;Monterrey;30-323;1992;29;29;2514;27.9;3;1;4;3;0;0;9;0;0.9;0.9;1.5;2.4;24;81;45;0.11;0.04;0.14;0.11;0.14;0.03;0.05;0.09;0.03;0.09
366;Ángel Mena;ec ECU;MFFW;León;35-102;1988;29;21;1688;18.8;3;4;7;1;2;2;2;0;5.8;4.2;3.2;7.4;74;98;155;0.16;0.21;0.37;0.05;0.27;0.31;0.17;0.48;0.22;0.39
367;Édgar Méndez;es ESP;FWMF;Necaxa;33-121;1990;24;19;1616;18.0;6;0;6;5;1;2;9;1;5.0;3.4;0.9;4.3;38;35;133;0.33;0.00;0.33;0.28;0.28;0.28;0.05;0.33;0.19;0.24
368;Jean Meneses;cl CHI;MFFW;Toluca;30-048;1993;33;32;2676;29.7;8;7;15;8;0;0;6;1;6.4;6.4;5.7;12.2;88;135;228;0.27;0.24;0.50;0.27;0.50;0.22;0.19;0.41;0.22;0.41
369;Roberto Meraz;mx MEX;MF;Mazatlán;23-272;1999;31;27;2313;25.7;2;1;3;2;0;0;8;1;1.2;1.2;1.0;2.1;6;71;38;0.08;0.04;0.12;0.08;0.12;0.04;0.04;0.08;0.04;0.08
370;Jorge Meré;es ESP;DF;Mazatlán;26-016;1997;6;5;406;4.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
371;Sabin Merino;es ESP;FW;Atlético;31-119;1992;21;2;314;3.5;2;0;2;1;1;1;1;0;2.2;1.4;0.1;1.5;9;10;32;0.57;0.00;0.57;0.29;0.29;0.63;0.03;0.66;0.41;0.44
372;Maximiliano Meza;ar ARG;MFFW;Monterrey;30-139;1992;31;25;2113;23.5;3;5;8;3;0;0;9;0;3.4;3.4;4.5;7.9;76;130;111;0.13;0.21;0.34;0.13;0.34;0.15;0.19;0.34;0.15;0.34
373;Hiram Mier;mx MEX;DF;Guadalajara;33-251;1989;8;4;341;3.8;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;1;10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05
374;Jesús Molina;mx MEX;MF;UNAM;35-035;1988;14;10;883;9.8;0;0;0;0;0;0;1;0;0.6;0.6;0.6;1.2;3;23;5;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.12;0.06;0.12
375;Tomás Molina;ar ARG;FW;FC Juárez;28-021;1995;13;9;846;9.4;4;0;4;4;0;0;2;0;2.5;2.5;0.6;3.1;21;14;62;0.43;0.00;0.43;0.43;0.43;0.27;0.06;0.33;0.27;0.33
376;Ricardo Monreal;mx MEX;FWMF;Necaxa;22-082;2001;25;8;828;9.2;2;3;5;2;0;0;1;0;1.8;1.8;1.2;3.0;16;32;67;0.22;0.33;0.54;0.22;0.54;0.19;0.13;0.33;0.19;0.33
377;Pablo Monroy;mx MEX;DF;UNAM;20-285;2002;10;10;874;9.7;0;2;2;0;0;0;5;0;0.2;0.2;1.1;1.4;12;19;27;0.00;0.21;0.21;0.00;0.21;0.03;0.11;0.14;0.03;0.14
378;Andres Montaño;mx MEX;MF;Mazatlán;20-346;2002;22;14;1160;12.9;2;0;2;2;0;0;1;0;1.4;1.4;1.3;2.7;17;78;28;0.16;0.00;0.16;0.16;0.16;0.11;0.10;0.21;0.11;0.21
379;Joaquín Montecinos;cl CHI;FW;Tijuana;27-147;1995;27;19;1398;15.5;2;3;5;2;0;0;4;0;2.1;2.1;2.9;5.0;40;38;146;0.13;0.19;0.32;0.13;0.32;0.14;0.19;0.32;0.14;0.32
380;César Montes;mx MEX;DF;Monterrey;26-068;1997;13;8;772;8.6;0;0;0;0;0;0;4;0;0.1;0.1;0.3;0.4;5;23;1;0.00;0.00;0.00;0.00;0.00;0.02;0.03;0.05;0.02;0.05
381;Luis Montes;mx MEX;MF;León;36-353;1986;14;12;871;9.7;0;0;0;0;0;0;4;0;0.7;0.7;1.7;2.4;18;64;29;0.00;0.00;0.00;0.00;0.00;0.07;0.18;0.25;0.07;0.25
382;Adrián Mora;mx MEX;DF;FC Juárez;25-261;1997;5;2;266;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;10;0;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
383;Iván Morales Bravo;cl CHI;FWMF;Cruz Azul;23-278;1999;17;4;460;5.1;2;0;2;1;1;1;1;1;1.2;0.4;0.2;0.7;7;8;18;0.39;0.00;0.39;0.20;0.20;0.24;0.04;0.28;0.09;0.13
384;Carlos Moreno;mx MEX;GK;Pachuca;25-094;1998;4;3;315;3.5;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
385;Héctor Moreno;mx MEX;DF;Monterrey;35-106;1988;29;22;1875;20.8;0;0;0;0;0;0;3;0;1.1;0.9;0.5;1.4;12;74;3;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.08;0.04;0.07
386;Iker Moreno;mx MEX;FW;América;19-231;2003;1;0;51;0.6;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;1;2;4;0.00;0.00;0.00;0.00;0.00;0.36;0.00;0.36;0.36;0.36
387;Iván Moreno;mx MEX;MFFW;Puebla;25-106;1998;16;9;774;8.6;0;0;0;0;0;0;1;0;1.0;1.0;0.4;1.4;32;23;47;0.00;0.00;0.00;0.00;0.00;0.11;0.05;0.16;0.11;0.16
388;Iván Moreno;mx MEX;DF;León;25-106;1998;16;15;1292;14.4;1;4;5;1;0;0;4;0;1.4;1.4;1.8;3.2;45;44;78;0.07;0.28;0.35;0.07;0.35;0.10;0.12;0.22;0.10;0.22
389;Omar Moreno;mx MEX;MFFW;Mazatlán;18-093;2005;8;1;219;2.4;0;0;0;0;0;0;0;0;0.3;0.3;0.0;0.4;13;4;20;0.00;0.00;0.00;0.00;0.00;0.14;0.02;0.16;0.14;0.16
390;Yairo Moreno;co COL;MFDF;León;28-029;1995;29;19;1714;19.0;3;6;9;3;0;0;2;0;2.3;2.3;2.9;5.2;90;104;111;0.16;0.32;0.47;0.16;0.47;0.12;0.15;0.27;0.12;0.27
391;Andrés Mosquera Guardia;co COL;DF;Toluca;33-072;1990;31;31;2789;31.0;1;2;3;1;0;0;2;0;1.3;1.3;0.6;1.9;18;97;34;0.03;0.06;0.10;0.03;0.10;0.04;0.02;0.06;0.04;0.06
392;Alan Mozo;mx MEX;DF;Guadalajara;26-028;1997;28;20;1988;22.1;0;2;2;0;0;0;4;0;0.2;0.2;2.8;2.9;64;91;137;0.00;0.09;0.09;0.00;0.09;0.01;0.13;0.13;0.01;0.13
393;Santiago Muñóz;mx MEX;FWMF;Santos;20-262;2002;6;1;121;1.3;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.4;2;5;13;0.00;0.00;0.00;0.00;0.00;0.21;0.10;0.31;0.21;0.31
394;Zahid Muñoz;mx MEX;MFFW;Atlético;22-094;2001;3;0;45;0.5;1;0;1;1;0;0;1;0;0.1;0.1;0.0;0.1;2;5;2;2.00;0.00;2.00;2.00;2.00;0.16;0.00;0.16;0.16;0.16
395;Zahid Muñoz;mx MEX;FW;Guadalajara;22-094;2001;1;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;1;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.68;0.68;0.00;0.68
396;Jhon Murillo;ve VEN;FWMF;Atlético;27-333;1995;33;27;2306;25.6;2;2;4;2;0;0;6;0;;;;;;;;0.08;0.08;0.16;0.08;0.16;;;;;
397;Óscar Murillo;co COL;DF;Pachuca;35-015;1988;16;14;1200;13.3;0;0;0;0;0;0;3;1;0.1;0.1;0.1;0.1;2;22;2;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01
398;Ariel Nahuelpán;ar ARG;FW;Querétaro;35-200;1987;15;10;924;10.3;4;0;4;3;1;1;0;0;3.4;2.7;1.0;3.7;4;21;44;0.39;0.00;0.39;0.29;0.29;0.34;0.10;0.43;0.26;0.36
399;Ariel Nahuelpán;ar ARG;FW;Mazatlán;35-200;1987;7;6;435;4.8;1;0;1;1;0;0;2;0;1.1;1.1;0.1;1.2;2;8;25;0.21;0.00;0.21;0.21;0.21;0.22;0.02;0.25;0.22;0.25
400;José Navarro;mx MEX;MF;UNAM;20-072;2003;1;0;1;0.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
401;Fernando Navarro Morán;mx MEX;MFFW;Toluca;34-015;1989;32;19;1828;20.3;2;5;7;2;0;0;3;0;2.6;2.6;4.1;6.6;36;100;99;0.10;0.25;0.34;0.10;0.34;0.13;0.20;0.33;0.13;0.33
402;Hugo Nervo;ar ARG;DF;Atlas;32-117;1991;31;31;2732;30.4;1;1;2;1;0;0;2;1;0.6;0.6;0.8;1.4;0;46;4;0.03;0.03;0.07;0.03;0.07;0.02;0.03;0.05;0.02;0.05
403;Francisco Nevarez;mx MEX;DF;FC Juárez;22-151;2000;17;9;947;10.5;0;0;0;0;0;0;2;0;0.2;0.2;0.5;0.7;21;43;42;0.00;0.00;0.00;0.00;0.00;0.02;0.05;0.07;0.02;0.07
404;Alberto Ocejo;mx MEX;FW;Atlas;24-321;1998;15;7;591;6.6;1;1;2;1;0;0;1;0;2.8;2.8;1.1;3.9;8;12;37;0.15;0.15;0.30;0.15;0.30;0.43;0.17;0.60;0.43;0.60
405;David Ochoa;us USA;GK;Atlético;22-107;2001;1;0;33;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
406;Guillermo Ochoa;mx MEX;GK;América;37-294;1985;16;16;1440;16.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
407;Luis Olivas;mx MEX;DF;Guadalajara;23-082;2000;15;15;1278;14.2;1;0;1;1;0;0;2;1;1.2;1.2;0.1;1.3;8;33;0;0.07;0.00;0.07;0.07;0.07;0.08;0.01;0.09;0.08;0.09
408;Maximiliano Olivera;uy URU;DF;FC Juárez;31-059;1992;32;32;2835;31.5;2;4;6;2;0;1;7;0;2.5;1.7;3.2;4.9;46;167;86;0.06;0.13;0.19;0.06;0.19;0.08;0.10;0.18;0.05;0.15
409;Agustín Oliveros;uy URU;DF;Necaxa;24-259;1998;34;33;2906;32.3;3;1;4;3;0;0;7;0;1.3;1.3;0.8;2.0;15;115;36;0.09;0.03;0.12;0.09;0.12;0.04;0.02;0.06;0.04;0.06
410;Fernando Ordóñez;mx MEX;MF;UANL;21-335;2001;1;0;27;0.3;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;1;2;1;0.00;0.00;0.00;0.00;0.00;0.25;0.05;0.30;0.25;0.30
411;Alejandro Organista;mx MEX;FWMF;Atlético;22-335;2000;2;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;0;1;1;0.00;0.00;0.00;0.00;0.00;0.10;0.08;0.18;0.10;0.18
412;Santiago Ormeño;pe PER;FWMF;FC Juárez;29-088;1994;4;0;55;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;2;5;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.00;0.15
413;Santiago Ormeño;pe PER;FWDF;Guadalajara;29-088;1994;12;2;386;4.3;1;0;1;1;0;0;1;0;2.0;2.0;0.3;2.2;2;4;16;0.23;0.00;0.23;0.23;0.23;0.46;0.06;0.52;0.46;0.52
414;Efraín Orona;mx MEX;DF;Mazatlán;24-070;1999;18;11;1099;12.2;0;0;0;0;0;0;4;0;0.1;0.1;0.3;0.4;5;33;9;0.00;0.00;0.00;0.00;0.00;0.01;0.02;0.03;0.01;0.03
415;Jonathan Orozco;mx MEX;GK;Tijuana;36-356;1986;17;17;1530;17.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
416;Carlos Orrantía;mx MEX;DF;Santos;32-091;1991;16;15;1228;13.6;1;5;6;1;0;0;1;0;0.2;0.2;1.7;1.9;15;53;50;0.07;0.37;0.44;0.07;0.44;0.02;0.12;0.14;0.02;0.14
417;Carlos Orrantía;mx MEX;DFFW;Toluca;32-091;1991;7;4;331;3.7;1;0;1;1;0;0;1;0;0.4;0.4;0.2;0.7;5;10;15;0.27;0.00;0.27;0.27;0.27;0.12;0.06;0.18;0.12;0.18
418;Edyairth Ortega;mx MEX;MF;Atlas;26-100;1997;8;4;434;4.8;0;0;0;0;0;0;1;0;0.1;0.1;0.3;0.4;5;21;4;0.00;0.00;0.00;0.00;0.00;0.03;0.06;0.09;0.03;0.09
419;Haret Ortega;mx MEX;DF;Toluca;22-349;2000;9;6;573;6.4;0;1;1;0;0;0;4;0;0.1;0.1;0.3;0.4;1;8;0;0.00;0.16;0.16;0.00;0.16;0.02;0.05;0.06;0.02;0.06
420;Miguel Ortega;mx MEX;GK;UANL;28-020;1995;1;1;90;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
421;Arturo Ortiz;mx MEX;DF;UNAM;30-251;1992;22;22;1929;21.4;0;0;0;0;0;0;5;1;0.6;0.6;0.9;1.6;15;107;7;0.00;0.00;0.00;0.00;0.00;0.03;0.04;0.07;0.03;0.07
422;Celso Ortiz;py PAR;MF;Monterrey;34-097;1989;32;28;2225;24.7;0;4;4;0;0;0;2;0;0.5;0.5;1.4;1.9;6;120;16;0.00;0.16;0.16;0.00;0.16;0.02;0.06;0.08;0.02;0.08
423;Mario Osuna;mx MEX;MFFW;FC Juárez;34-256;1988;6;2;191;2.1;0;0;0;0;0;0;1;0;0.4;0.4;0.0;0.4;3;5;3;0.00;0.00;0.00;0.00;0.00;0.19;0.00;0.19;0.19;0.19
424;Mario Osuna;mx MEX;MFDF;Querétaro;34-256;1988;10;5;485;5.4;1;1;2;0;1;1;1;0;0.9;0.1;0.3;0.4;6;24;5;0.19;0.19;0.37;0.00;0.19;0.17;0.05;0.22;0.02;0.07
425;Juan Pablo Segovia;ar ARG;DF;Necaxa;34-043;1989;28;24;2179;24.2;0;2;2;0;0;0;6;0;1.0;1.0;0.1;1.1;17;69;3;0.00;0.08;0.08;0.00;0.08;0.04;0.01;0.05;0.04;0.05
426;Juan Pablo Vigón;mx MEX;MF;UANL;31-287;1991;28;12;1041;11.6;2;1;3;2;0;0;2;1;1.5;1.5;0.9;2.5;12;42;37;0.17;0.09;0.26;0.17;0.26;0.13;0.08;0.21;0.13;0.21
427;Pablo Parra;cl CHI;MF;Puebla;28-284;1994;11;6;569;6.3;1;0;1;1;0;0;0;0;0.9;0.9;1.0;1.9;17;27;43;0.16;0.00;0.16;0.16;0.16;0.14;0.16;0.30;0.14;0.30
428;Rodrigo Parra;mx MEX;DF;Tijuana;19-246;2003;4;4;224;2.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3;8;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
429;Paulino;es ESP;FWMF;Pachuca;25-310;1997;18;5;586;6.5;1;3;4;1;0;0;2;0;1.8;1.8;1.5;3.3;27;35;52;0.15;0.46;0.61;0.15;0.61;0.28;0.23;0.51;0.28;0.51
430;Pedro Pedraza;mx MEX;MF;Pachuca;23-003;2000;5;0;81;0.9;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
431;Miguel Pedroza;mx MEX;FW;Necaxa;20-050;2003;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.50
432;Kevin Pereira;py PAR;FW;FC Juárez;19-108;2004;1;0;19;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
433;Sebastián Pérez Bouquet;mx MEX;MFFW;Guadalajara;19-315;2003;6;3;222;2.5;1;0;1;1;0;0;0;0;0.5;0.5;0.0;0.5;5;11;10;0.41;0.00;0.41;0.41;0.41;0.18;0.01;0.19;0.18;0.19
434;Julio Pérez;mx MEX;DF;Pachuca;21-086;2002;1;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
435;Pavel Pérez;mx MEX;MFFW;Guadalajara;24-311;1998;30;4;794;8.8;2;0;2;2;0;0;1;0;2.6;2.6;0.6;3.2;27;29;53;0.23;0.00;0.23;0.23;0.23;0.29;0.07;0.36;0.29;0.36
436;Eduardo Pérez Reyes;mx MEX;FW;Santos;30-005;1993;5;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
437;Baldomero Perlaza;co COL;MF;Querétaro;30-335;1992;3;3;270;3.0;0;0;0;0;0;0;0;0;;;;;;;;0.00;0.00;0.00;0.00;0.00;;;;;
438;Jonathan Perlaza;ec ECU;DFMF;Querétaro;25-232;1997;13;10;910;10.1;0;1;1;0;0;0;2;0;0.5;0.5;0.8;1.2;9;26;20;0.00;0.10;0.10;0.00;0.10;0.05;0.07;0.12;0.05;0.12
439;Jesús Piñuelas;mx MEX;DF;Atlético;25-037;1998;9;9;765;8.5;0;0;0;0;0;0;3;0;0.4;0.4;0.0;0.4;2;19;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05
440;Guido Pizarro;ar ARG;MF;UANL;33-066;1990;32;31;2777;30.9;1;0;1;1;0;0;5;0;3.0;3.0;1.0;4.0;37;164;48;0.03;0.00;0.03;0.03;0.03;0.10;0.03;0.13;0.10;0.13
441;Rodolfo Pizarro;mx MEX;MFFW;Monterrey;29-077;1994;15;8;788;8.8;0;2;2;0;0;0;5;0;1.5;1.5;1.3;2.9;43;40;69;0.00;0.23;0.23;0.00;0.23;0.18;0.15;0.33;0.18;0.33
442;Franco Pizzichillo;uy URU;DFMF;Santos;27-120;1996;4;2;120;1.3;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;6;10;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.00;0.07
443;Vicente Poggi;uy URU;MF;Necaxa;20-296;2002;21;8;769;8.5;0;1;1;0;0;0;5;0;0.4;0.4;0.3;0.7;9;35;15;0.00;0.12;0.12;0.00;0.12;0.04;0.04;0.08;0.04;0.08
444;Osvaldo Rodríguez del Portal;mx MEX;DF;León;26-235;1996;30;30;2472;27.5;1;1;2;1;0;0;7;1;1.5;1.5;1.4;2.9;24;76;54;0.04;0.04;0.07;0.04;0.07;0.05;0.05;0.10;0.05;0.10
445;Harold Preciado;co COL;FW;Santos;28-336;1994;34;30;2577;28.6;13;6;19;10;3;3;6;0;12.8;10.5;3.0;13.5;51;64;184;0.45;0.21;0.66;0.35;0.56;0.45;0.11;0.55;0.37;0.47
446;Leonel Prieto;mx MEX;FW;UANL;21-262;2001;1;0;15;0.2;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;1;1;0;0.00;0.00;0.00;0.00;0.00;1.27;0.00;1.27;1.27;1.27
447;Ronaldo Prieto;mx MEX;DFMF;Santos;26-061;1997;12;8;722;8.0;0;0;0;0;0;0;3;0;0.2;0.2;0.0;0.2;3;14;3;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
448;Julián Quiñones;co COL;FW;Atlas;26-040;1997;32;32;2846;31.6;17;1;18;15;2;3;3;0;15.2;12.7;2.8;15.6;58;131;256;0.54;0.03;0.57;0.47;0.51;0.48;0.09;0.57;0.40;0.49
449;Cándido Ramírez;mx MEX;MF;FC Juárez;29-332;1993;4;2;153;1.7;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;5;1;16;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.08;0.07;0.08
